question_id,domain,tier,subtopic,model,confidence_percent,score,justification,common_misconception
fia_024,fia,1,race_start,gpt_oss_120b,78,0.5,The model's answer captures the main outcome of the situation but incorrectly states that the start is immediately aborted without mentioning the driver's action of raising an arm and the role of marshals in pushing the car to the pit lane.,"People think the race simply continues around a stalled car, but the start is aborted and the car removed for safety."
fia_025,fia,1,qualifying_format,gpt_oss_120b,92,0.0,"The model's answer is incorrect as it states that top-ten qualifiers must start on the Q2 tyres, which contradicts the ground truth that allows drivers to choose their starting compound in 2024.","Many still believe the top ten must start on their Q2 tyres, but that rule was abolished."
fia_026,fia,1,pit_lane_rules,gpt_oss_120b,92,0.5,The model's answer correctly states that overtaking is generally not permitted in the pit lane but misses the detail about penalties for unsafe releases and dangerous passing.,"People think the pit lane is a free-for-all to gain places, but unsafe releases and dangerous overtakes there are penalized."
fia_027,fia,1,vsc,gpt_oss_120b,88,0.5,"The model's answer correctly states that drivers are given notice before racing resumes, but it inaccurately specifies a minimum 3-second notice, which is not mentioned in the ground truth answer.","Drivers think VSC ends instantly when they see the message, but they must stay on delta until the official end signal."
fia_028,fia,1,drs,gpt_oss_120b,94,0.5,"The model's answer incorrectly states a maximum of two DRS zones, while the ground truth indicates that a circuit can have one to three DRS zones.","People assume every track has exactly one DRS zone, but many have two or three."
fia_029,fia,1,blue_flags,gpt_oss_120b,95,1.0,"The model's answer accurately states that blue flags apply during both qualifying and the race, capturing the essential truth of the ground truth answer.","People think blue flags only apply during the race for lapping, but they are also used in qualifying for approaching fast cars."
fia_030,fia,1,points_scoring,gpt_oss_120b,95,1.0,The model's answer accurately explains the conditions under which full points are awarded and aligns with the ground truth answer.,"People assume full points if two laps are completed, but a sliding scale now governs reduced-distance races."
fia_031,fia,1,parc_ferme,gpt_oss_120b,92,0.5,"The model's answer correctly states that the driver is not allowed to change the tyres, but it inaccurately implies that the team cannot replace them, which is permitted under parc fermé conditions.","People think nothing can be touched under parc fermé, but tyre changes and several other operations are explicitly allowed."
fia_032,fia,1,race_start,gpt_oss_120b,95,0.5,"The model's answer captures the purpose of warming tyres and brakes and mentions checking conditions, but it omits the detail about the grid formation and the overtaking rule.","People think drivers can jockey for position on the formation lap, but overtaking is only allowed to regain a lost place."
fia_033,fia,1,safety_car,gpt_oss_120b,95,0.5,"The model's answer correctly identifies that the lead car controls the pace, but it inaccurately attributes the restart authority to the race director instead of the race leader crossing the control line.","People think racing resumes immediately when the safety car leaves, but the leader sets the pace until the control line."
fia_034,fia,1,vsc,gpt_oss_120b,95,0.5,The model's answer is partially correct but introduces an additional scenario (driver forced off-track) that is not mentioned in the ground truth answer.,"People assume positions can still change under VSC since there's no physical car, but overtaking is banned."
fia_035,fia,1,drs,gpt_oss_120b,95,1.0,"The model's answer accurately reflects the rules governing DRS usage, correctly stating that it is contingent upon the distance to the car ahead and not influenced by the car behind.","People think DRS can be used defensively whenever someone is behind, but it depends only on the gap to the car ahead."
fia_036,fia,1,safety_car,gpt_oss_120b,92,1.0,The model's answer accurately explains that blue flags are not used during a safety car period and correctly describes the unlapping procedure for lapped cars.,"People think blue flags wave lapped cars past under the safety car, but the safety car rules govern unlapping instead."
fia_037,fia,1,points_scoring,gpt_oss_120b,95,1.0,The model's answer accurately states that both championships use the same points scale and correctly explains how the Constructors' points are calculated.,"People think constructors use a different or halved scale, but both championships use the same per-position points."
fia_038,fia,1,track_limits,gpt_oss_120b,95,1.0,"The model's answer accurately explains that the lap time is declared invalid and deleted, and it correctly states that the next-fastest legal lap is used for classification, capturing the essential truth of the ground truth answer.","People think a small excursion is tolerated, but a lap with all four wheels beyond the white line is deleted."
fia_039,fia,1,pit_lane_rules,gpt_oss_120b,95,1.0,The model's answer accurately captures the essential truth that the pit lane speed limit applies during all relevant sessions when the pit lane is open.,"People think the limit only applies during the race, but it is enforced in every on-track session."
fia_040,fia,1,safety_car,gpt_oss_120b,92,0.5,"The model correctly identifies the safety car flag and board but omits the yellow flags at all marshal posts and the timing screen message, which are key details in the ground truth answer.","People think a single signal suffices, but it is signalled simultaneously by waved yellows, SC boards, and the timing message."
fia_041,fia,2,technical_regulations,gpt_oss_120b,85,1.0,"The model's answer accurately describes the principle of the FIA's rear wing flexibility tests, including the application of a static load, measurement of deflection, and the purpose of ensuring the wing remains rigid to prevent aerodynamic advantages.","People think any flexing is automatically illegal, but parts are legal as long as deflection under the defined test load stays within the limit."
fia_042,fia,2,technical_regulations,gpt_oss_120b,92,1.0,The model's answer accurately explains that passing the static deflection test does not guarantee legality under all conditions and includes additional factors that must be considered.,"Teams assume passing the published test means full legality, but the FIA can impose tougher tests and still judge a part non-compliant."
fia_043,fia,2,drs,gpt_oss_120b,94,1.0,"The model's answer accurately captures the timing of DRS re-enablement after a safety car period, aligning with the essential truth of the ground truth answer.","Drivers think DRS returns immediately when green flags fly after a safety car, but it is delayed two laps after the restart."
fia_044,fia,2,parc_ferme,gpt_oss_120b,92,1.0,"The model's answer accurately describes when parc fermé conditions begin on both standard and Sprint weekends, capturing the essential truth of the difference.","People assume parc fermé timing is identical to a standard weekend, but on Sprint weekends it begins at Sprint Qualifying."
fia_045,fia,2,sprint_weekend_procedure,gpt_oss_120b,88,0.5,"The model's answer correctly states that teams can make setup changes, but it inaccurately specifies that aerodynamic specifications must remain unchanged, which is not mentioned in the ground truth answer.","People think the car is locked from Friday to Sunday on a Sprint weekend, but 2024 allows setup changes between the Sprint and main qualifying."
fia_046,fia,2,sprint_weekend_procedure,gpt_oss_120b,95,0.5,The model's answer correctly states the points awarded to the winner but omits the detail about points being awarded to the top eight finishers.,"People think Sprint points mirror the full race scale or only the top three score, but the top eight score with 8 for the win."
fia_047,fia,2,cost_cap_rules,gpt_oss_120b,92,0.0,"The model's answer is incorrect as it states that crash damage repair costs are excluded from the cost cap, contradicting the ground truth answer.","People assume crash damage is exempt because it is not the team's fault, but it counts against the cost cap."
fia_048,fia,2,cost_cap_rules,gpt_oss_120b,85,0.5,The model's answer correctly identifies that driver salaries are excluded from the cost cap but omits the detail about the three highest-paid personnel and other exclusions.,"People think the cost cap covers absolutely all spending including driver salaries, but driver pay and top personnel are excluded."
fia_049,fia,2,cost_cap_rules,gpt_oss_120b,92,0.5,The model correctly identifies 'procedural' breaches but inaccurately categorizes 'overspend' as 'financial breach' without mentioning the specific subcategories of minor and material overspend.,"People think any breach is treated identically, but the rules separate procedural from minor and material overspend breaches."
fia_050,fia,2,power_unit_penalties,gpt_oss_120b,92,1.0,The model's answer accurately states the maximum number of each power unit element allowed per season and correctly explains the conditions under which grid penalties apply.,"People think there is one combined engine allowance, but each element type has its own separate seasonal limit."
fia_051,fia,2,power_unit_penalties,gpt_oss_120b,95,1.0,"The model's answer accurately states that a ten-place grid drop is applied the first time a driver exceeds the allowed number of any power-unit element, capturing the essential truth of the ground truth answer.","People think every extra engine part is a fixed ten places, but only the first is ten and subsequent new elements are five each."
fia_052,fia,2,power_unit_penalties,gpt_oss_120b,92,0.5,The model's answer correctly states that the driver starts from the back of the grid but adds unnecessary details about race-time penalties that are not part of the ground truth answer.,"People think a driver can be pushed behind the grid into negative positions, but penalties beyond 15 just mean a back-of-grid start."
fia_053,fia,2,race_start,gpt_oss_120b,78,0.5,The model's answer captures the essence of the situation but misses key details such as the race distance being reduced by one lap and the possibility of the stranded car starting from the pit lane.,"People think the race just proceeds with a gap on the grid, but the start is aborted and the race distance reduced by a lap."
fia_054,fia,2,red_flag_restart,gpt_oss_120b,92,0.5,The model's answer correctly identifies the restart order based on the classification at the time of the red flag but inaccurately states it as the 'running order' rather than the 'last completed-lap order' and misses the detail about reverting to original starting positions if the race was stopped before two laps were completed.,"People think positions are taken from the exact moment of the red flag, but the order is from the last fully completed lap."
fia_055,fia,2,red_flag_restart,gpt_oss_120b,92,0.5,"The model's answer is partially correct as it accurately states that teams can work on the car during a red flag, but it incorrectly emphasizes the location restriction without acknowledging the notable exception regarding the pit lane.","People think the car is frozen during a red flag, but teams can change tyres and perform permitted work, giving a free stop."
fia_056,fia,2,red_flag_restart,gpt_oss_120b,95,0.5,The model's answer is partially correct but lacks the detail that it applies to cars unable to take the restart from the grid.,"People assume the car keeps its grid slot, but a car in the pits at the red flag must restart from the pit lane."
fia_057,fia,2,driver_change,gpt_oss_120b,92,0.5,The model's answer captures the essence of the rules regarding driver changes but lacks clarity on the requirement for FIA approval and the loss of the original qualifying grid slot.,"People think a substitute simply inherits the qualified grid slot, but a driver change usually means a pit lane start."
fia_058,fia,2,driver_change,gpt_oss_120b,95,1.0,"The model's answer accurately states that points scored by a substitute driver contribute to the team's total in the Constructors' Championship, capturing the essential truth of the ground truth answer.","People think only the contracted regular drivers' points count for the constructor, but a substitute's points also count."
fia_059,fia,2,weight_enforcement,gpt_oss_120b,92,0.5,The model's answer correctly identifies the requirement for the car's weight at the start of sessions but omits the necessity to meet the weight requirement at all times during the event.,"People think weight only matters at scrutineering before the weekend, but it must be met at every weigh-in throughout the event."
fia_060,fia,2,weight_enforcement,gpt_oss_120b,95,0.5,"The model's answer is partially correct as it states that the minimum weight includes the driver, but it omits the detail about the separately defined minimum driver-plus-seat weight to address the needs of heavier drivers.","People think the minimum weight is the car alone, but it includes the driver, with a separate driver-and-seat minimum."
fia_061,fia,2,technical_regulations,gpt_oss_120b,92,1.0,"The model's answer accurately captures the required amount of fuel and the consequences of not providing it, aligning closely with the ground truth answer.","People think running the tank nearly dry is fine, but failing to provide the one-litre sample leads to disqualification."
fia_062,fia,2,steward_decisions,gpt_oss_120b,92,1.0,The model's answer accurately reflects the ability of stewards to impose penalties after the race and correctly explains the provisional nature of the results.,"People think the chequered flag locks the result, but stewards can apply post-race penalties before results are final."
fia_063,fia,2,steward_decisions,gpt_oss_120b,92,0.5,The model's answer correctly identifies the time limit and the context of penalties but fails to mention the requirement of a significant new element for a Right of Review.,"People think a team can simply appeal because they disagree, but a review requires significant new and previously unavailable evidence."
fia_064,fia,2,steward_decisions,gpt_oss_120b,92,1.0,"The model's answer accurately explains that the black-and-orange flag is a safety warning and not a penalty, capturing the essential truth of the ground truth answer.","People think the black-and-orange flag is a punishment, but it is a safety instruction to repair a dangerous component."
fia_065,fia,2,pit_lane_rules,gpt_oss_120b,92,1.0,"The model's answer accurately defines an unsafe release and correctly describes the typical penalties associated with it, capturing all essential details.","People think only a detached wheel counts, but releasing into another car's path is equally an unsafe release."
fia_066,fia,2,technical_regulations,gpt_oss_120b,92,1.0,"The model's answer accurately captures the purpose of the FIA's plank wear measurement, including the enforcement of ride height limits and compliance with regulations.","People think the plank is just for protection, but it is a ride-height enforcement device whose excessive wear causes disqualification."
fia_067,fia,2,power_unit_penalties,gpt_oss_120b,92,1.0,"The model's answer accurately captures the essential truth of the ground truth answer, including the conditions for reuse and the penalty for subsequent changes.","People think a penalized engine carries a penalty every time it's used, but the penalty applies only once when it's introduced."
fia_068,fia,2,cost_cap_rules,gpt_oss_120b,92,0.5,The model's answer correctly identifies the deduction of championship points as a possible sanction but omits other potential penalties and details mentioned in the ground truth answer.,"People think a cost cap breach is only a fine, but material breaches can carry points deductions and testing restrictions."
fia_069,fia,2,sprint_weekend_procedure,gpt_oss_120b,92,1.0,"The model's answer accurately states that the fastest-lap bonus point is only awarded in the main Grand Prix race and not in Sprint races, capturing the essential truth of the ground truth answer.","People assume the fastest-lap point applies to all races, but it is exclusive to the Grand Prix, not the Sprint."
fia_070,fia,2,red_flag_restart,gpt_oss_120b,88,1.0,"The model's answer accurately captures the eligibility criteria for a car to take a restart after a red flag, including the requirement to be able to start and the conditions for exclusion.","People think any car can rejoin after a red flag, but a car must reach the grid in time and meet eligibility to restart."
fia_071,fia,2,weight_enforcement,gpt_oss_120b,92,1.0,The model's answer accurately reflects the consequence of disqualification for an underweight car and includes the detail about starting from the back of the grid or pit-lane.,"People think a small underweight gets a minor penalty, but it normally means full exclusion from the session results."
fia_072,fia,2,technical_regulations,gpt_oss_120b,95,1.0,"The model's answer accurately reflects the prohibition of active aerodynamic devices during a lap, correctly citing the exception of DRS, and aligns with the ground truth answer.","People think clever flexing or moving aero is allowed if it passes tests, but movable aerodynamic devices other than DRS are banned."
fia_073,fia,2,driver_change,gpt_oss_120b,95,1.0,The model's answer accurately states that a substitute driver must hold a valid FIA Super Licence and includes additional relevant details about the approval process by the FIA.,"People think a reserve can step in on short notice regardless of licence, but a valid Super Licence is mandatory."
fia_074,fia,2,steward_decisions,gpt_oss_120b,95,1.0,The model's answer accurately reflects the ground truth by stating that penalties can be imposed regardless of the offending driver's race result and details the types of penalties that may be applied.,"People think retiring escapes a penalty, but an unserved sanction can carry over to the next race."
fia_075,fia,2,cost_cap_rules,gpt_oss_120b,92,1.0,"The model's answer accurately explains that aerodynamic testing allocations are based on the previous season's championship position, aligning with the ground truth answer.","People think all teams get equal wind tunnel time, but allocations scale inversely with championship position."
fia_076,fia,2,sprint_weekend_procedure,gpt_oss_120b,93,1.0,The model's answer accurately states that the Grand Prix grid is determined by a separate qualifying session and correctly identifies that the Sprint result does not influence the starting order.,"People think the Sprint finishing order sets the Grand Prix grid, but a separate qualifying determines it in 2024."
fia_077,fia,2,power_unit_penalties,gpt_oss_120b,92,1.0,"The model's answer correctly states that power unit penalties are applied to the main-race (Grand Prix) starting grid and not to the sprint-race grid, capturing the essential truth of the ground truth answer.","People think PU penalties hit both the Sprint and the race, but they are applied to the Grand Prix grid."
fia_078,fia,2,technical_regulations,gpt_oss_120b,96,1.0,"The model's answer accurately describes the role of the ADR, its functionality, and confirms its mandatory status in Formula 1 since the 2022 season.","People think the ADR is optional telemetry, but it is a mandatory safety device required for the car to run."
fia_079,fia,2,vsc,gpt_oss_120b,92,1.0,The model's answer accurately captures the essential truth that a Virtual Safety Car can be escalated to a full safety car deployment by the race director based on the situation on track.,"People think a VSC and safety car are mutually exclusive, but a VSC can be escalated to a full safety car as needed."
fia_080,fia,2,steward_decisions,gpt_oss_120b,92,1.0,The model's answer accurately reflects that stewards' penalty decisions during a race cannot be appealed on-track and correctly mentions the formal post-race appeal procedure.,"People think every penalty can be appealed, but in-race driving penalties are explicitly non-appealable."
fia_081,fia,3,safety_car,gpt_oss_120b,20,1.0,"The model's answer correctly states that the regulation applies to all lapped cars, aligning with the ground truth answer.","People believe only the cars directly between the leader and the next contender unlap, but the literal rule refers to any/all lapped cars."
fia_082,fia,3,safety_car,gpt_oss_120b,78,1.0,"The model's answer accurately states that the safety car returns to the pits on the next lap after lapped cars have been waved past, which aligns with the ground truth answer.","People think the safety car comes in the same lap the unlapping message is given, but the literal rule specifies the end of the following lap."
fia_083,fia,3,safety_car,gpt_oss_120b,92,1.0,The model's answer accurately reflects the ambiguity in the 2021 safety car rules and the lack of a clear definition regarding the race director's discretion.,"People think the rule clearly mandated a fixed outcome, but the literal wording's ambiguity over discretion is exactly what caused the dispute."
fia_084,fia,3,track_limits,gpt_oss_120b,88,0.5,"The model's answer provides a detailed escalation process but incorrectly includes a 10-second penalty after the 5-second penalty, which is not standard in the FIA regulations.","People think each race track-limits breach just deletes a lap like in qualifying, but in the race it escalates to flags and time penalties."
fia_085,fia,3,track_limits,gpt_oss_120b,95,1.0,The model's answer accurately captures the essential criterion for exceeding track limits by stating that all four tyres must be completely beyond the white-line boundary.,"People think touching the kerb or going slightly wide counts, but limits are exceeded only when all four wheels are beyond the white line."
fia_086,fia,3,steward_decisions,gpt_oss_120b,88,0.5,"The model's answer correctly states that a deleted lap cannot be reinstated after the session ends, but it does not mention the possibility of correcting clear timing errors or the Right of Review, which are key details in the ground truth answer.","People think stewards can freely revisit any call after a session, but discretionary judgements need a formal review with new evidence."
fia_087,fia,3,steward_decisions,gpt_oss_120b,88,0.5,"The model's answer correctly states that stewards can amend race classifications but inaccurately implies that this can be done without following the formal appeal process, which is a key detail missing from the ground truth answer.","People think stewards can amend a final result whenever new opinions arise, but only formal review or appeal can change a declared-final result."
fia_088,fia,3,vsc,gpt_oss_120b,85,1.0,"The model's answer accurately reflects the regulations regarding overtaking and unlapping during a Virtual Safety Car period, capturing the essential truth of the ground truth answer.","People think lapped cars can catch up and unlap under VSC like under the safety car, but overtaking is banned so no unlapping occurs."
fia_089,fia,3,steward_decisions,gpt_oss_120b,96,1.0,"The model's answer accurately describes the procedures for both penalties, including the requirement for a complete stop in the pit box for the stop-and-go penalty and the continuous transit for the drive-through penalty.","People conflate the two, but a drive-through has no stop while a stop-and-go requires a stationary timed penalty with no servicing."
fia_090,fia,3,steward_decisions,gpt_oss_120b,92,1.0,The model's answer accurately reflects the regulations regarding stop-and-go penalties and correctly states that no work can be done on the car until the penalty time has elapsed.,"People think a team can change tyres during the served-seconds, but no work is allowed until the penalty time has fully elapsed."
fia_091,fia,3,red_flag_restart,gpt_oss_120b,92,1.0,"The model's answer accurately captures the essential details of how positions and racing are handled during a red-flag restart behind the safety car, including the freezing of positions and the process of resuming racing.","People assume every red-flag restart is a standing start from the grid, but it can be a rolling restart behind the safety car."
fia_092,fia,3,track_limits,gpt_oss_120b,92,1.0,"The model's answer accurately reflects the requirement for consistent track-limits enforcement and cites relevant regulations, capturing the essential truth of the ground truth answer.","People think stewards can apply track limits more leniently to leaders, but enforcement must be consistent across all cars."
fia_093,fia,3,drs,gpt_oss_120b,85,1.0,"The model's answer accurately explains that DRS is not available immediately after the VSC ends and details the conditions under which it becomes available, aligning with the ground truth answer.","People think DRS is live the instant the VSC message clears, but the race director re-enables it after racing has properly resumed."
fia_094,fia,3,steward_decisions,gpt_oss_120b,92,0.5,"The model's answer correctly states that the penalty is not served and mentions a further sanction, but it inaccurately specifies a drive-through penalty instead of the more common harsher sanctions like a stop-and-go or post-race time penalty.","People think an early touch is a minor error, but it invalidates the served penalty and triggers a harsher sanction."
fia_095,fia,3,safety_car,gpt_oss_120b,30,0.5,The model's answer correctly identifies a condition for the safety car but does not address the requirement for lapped cars to be released and the leader's position in the queue before the safety car can return.,"People think the safety car can be pulled in as soon as the leader is clear of backmarkers, but the literal rule requires waiting until the end of the following lap."
fia_096,fia,3,track_limits,gpt_oss_120b,92,1.0,"The model's answer accurately reflects the requirement to give back a lasting advantage gained by leaving the track, aligning perfectly with the ground truth answer.","People think track limits only matter for lap times, but gaining a lasting advantage off-track must be given back regardless."
fia_097,fia,3,steward_decisions,gpt_oss_120b,92,1.0,The model's answer accurately reflects the stewards' authority to penalize unsafe conduct during the formation lap and correctly references the relevant regulations and potential penalties.,"People think the formation lap is penalty-free practice time, but unsafe conduct on it is penalizable."
fia_098,fia,3,vsc,gpt_oss_120b,92,1.0,The model's answer accurately captures the requirement for the car to respect the VSC delta from the pit-exit line while correctly stating that the pit lane speed limit applies until that point.,"People think a car emerging from a pit stop is exempt from the VSC delta, but it must respect the delta once back on track."
fia_099,fia,3,steward_decisions,gpt_oss_120b,95,1.0,"The model's answer accurately reflects that a time penalty added post-race does not require any in-race action from the driver, capturing the essential truth of the ground truth answer.","People think every time penalty must be served in the pits, but late-race penalties are simply added to the finishing time."
fia_100,fia,3,red_flag_restart,gpt_oss_120b,90,1.0,"The model's answer accurately reflects that unserved time penalties are not cancelled and must be served after the restart, capturing the essential truth of the ground truth answer.","People think a red flag wipes the slate clean on pending penalties, but unserved penalties carry through the restart."
fide_001,fide,1,basic_moves,gpt_oss_120b,98,1.0,"The model's answer accurately describes the bishop's movement and captures the essential details about moving diagonally, staying on the same color, and the capturing rules.",That a bishop can also slide one square sideways or jump over pieces.
fide_002,fide,1,basic_moves,gpt_oss_120b,98,1.0,"The model's answer accurately describes the knight's movement in chess, including the L-shape and the ability to jump over pieces, capturing the essential truth of the ground truth answer.",That a knight is blocked if pieces stand between its start and destination squares.
fide_003,fide,1,basic_moves,gpt_oss_120b,99,0.5,The model's answer is mostly correct but omits the important detail about the king needing to move to a square not attacked by an enemy piece.,That the king can move two squares like other long-range pieces in open positions.
fide_004,fide,1,basic_moves,gpt_oss_120b,98,1.0,The model's answer accurately describes the rook's movement and includes additional relevant details without introducing any inaccuracies.,That a rook may move diagonally to reach nearby squares.
fide_005,fide,1,basic_moves,gpt_oss_120b,98,1.0,"The model's answer accurately describes the queen's movement capabilities and includes the capturing mechanism, aligning well with the ground truth answer.",That a queen can also move like a knight in an L-shape.
fide_006,fide,1,basic_moves,gpt_oss_120b,98,1.0,"The model's answer accurately describes the pawn's movement options on its first move, including the possibility of advancing one or two squares.","That a pawn can always move two squares forward, not just on its first move."
fide_007,fide,1,basic_moves,gpt_oss_120b,98,1.0,"The model's answer accurately describes how a pawn captures an enemy piece and includes the en-passant rule, which is relevant and informative.",That a pawn captures the piece directly in front of it.
fide_008,fide,1,basic_moves,gpt_oss_120b,98,1.0,"The model's answer accurately describes the promotion of a pawn upon reaching the far rank, including the options for promotion and the requirement for the move to be completed.","That a pawn can only become a queen, or that you can only promote to a piece already captured."
fide_009,fide,1,check_checkmate,gpt_oss_120b,99,1.0,The model's answer accurately captures the essential truth of the ground truth answer.,That a king must be attacked by two or more pieces to be considered in check.
fide_010,fide,1,check_checkmate,gpt_oss_120b,98,0.5,"The model's answer is mostly correct but incorrectly states that blocking the line of attack is only possible against sliding pieces, while it can also apply to other scenarios depending on the position.",That you can ignore a check for one move or castle out of it.
fide_011,fide,1,check_checkmate,gpt_oss_120b,98,1.0,"The model's answer accurately defines checkmate, including the conditions of the king being in check and having no legal moves, and correctly states the outcome of the game.",That the king must actually be captured to end the game.
fide_012,fide,1,check_checkmate,gpt_oss_120b,98,1.0,"The model's answer accurately reflects the rule that any move leaving the king in check is illegal, aligning perfectly with the ground truth answer.",That you may expose your king to check as long as you can recapture next move.
fide_013,fide,1,check_checkmate,gpt_oss_120b,98,1.0,The model's answer accurately reflects the ground truth by stating that there is no obligation to announce 'check' in a FIDE-rated game.,That announcing 'check' is mandatory in official play.
fide_014,fide,1,stalemate_draws,gpt_oss_120b,98,1.0,"The model's answer accurately captures the definition of stalemate, including the key conditions of not being in check and having no legal moves.","That stalemate is a win for the side delivering it, or a loss for the stalemated player."
fide_015,fide,1,stalemate_draws,gpt_oss_120b,95,1.0,The model's answer accurately reflects the rules regarding agreeing to a draw and correctly explains when the game is considered drawn.,That a draw offer can be withdrawn after it has already been accepted.
